MTU (CET/CEST),Area,Production Type,Generation(MW)
03/01/2025 05:15:00 - 03/01/2025 05:30:00,BZN|ES,Wind Onshore,11112.0
03/01/2025 05:30:00 - 03/01/2025 05:45:00,BZN|ES,Wind Onshore,11416.0
03/01/2025 05:45:00 - 03/01/2025 06:00:00,BZN|ES,Wind Onshore,11528.0
03/01/2025 06:00:00 - 03/01/2025 06:15:00,BZN|ES,Wind Onshore,11548.0
03/01/2025 06:15:00 - 03/01/2025 06:30:00,BZN|ES,Wind Onshore,11252.0
03/01/2025 06:30:00 - 03/01/2025 06:45:00,BZN|ES,Wind Onshore,11576.0
03/01/2025 06:45:00 - 03/01/2025 07:00:00,BZN|ES,Wind Onshore,11748.0
03/01/2025 07:00:00 - 03/01/2025 07:15:00,BZN|ES,Wind Onshore,11832.0
03/01/2025 07:15:00 - 03/01/2025 07:30:00,BZN|ES,Wind Onshore,11696.0
03/01/2025 07:30:00 - 03/01/2025 07:45:00,BZN|ES,Wind Onshore,11812.0
03/01/2025 07:45:00 - 03/01/2025 08:00:00,BZN|ES,Wind Onshore,11868.0
03/01/2025 08:00:00 - 03/01/2025 08:15:00,BZN|ES,Wind Onshore,12028.0
03/01/2025 08:15:00 - 03/01/2025 08:30:00,BZN|ES,Wind Onshore,12216.0
03/01/2025 08:30:00 - 03/01/2025 08:45:00,BZN|ES,Wind Onshore,12376.0
03/01/2025 08:45:00 - 03/01/2025 09:00:00,BZN|ES,Wind Onshore,12540.0
03/01/2025 09:00:00 - 03/01/2025 09:15:00,BZN|ES,Wind Onshore,12624.0
03/01/2025 09:15:00 - 03/01/2025 09:30:00,BZN|ES,Wind Onshore,12592.0
03/01/2025 09:30:00 - 03/01/2025 09:45:00,BZN|ES,Wind Onshore,12520.0
03/01/2025 09:45:00 - 03/01/2025 10:00:00,BZN|ES,Wind Onshore,12416.0
03/01/2025 10:00:00 - 03/01/2025 10:15:00,BZN|ES,Wind Onshore,11952.0
03/01/2025 10:15:00 - 03/01/2025 10:30:00,BZN|ES,Wind Onshore,12136.0
03/01/2025 10:30:00 - 03/01/2025 10:45:00,BZN|ES,Wind Onshore,12104.0
03/01/2025 10:45:00 - 03/01/2025 11:00:00,BZN|ES,Wind Onshore,11904.0
03/01/2025 11:00:00 - 03/01/2025 11:15:00,BZN|ES,Wind Onshore,11724.0
03/01/2025 11:15:00 - 03/01/2025 11:30:00,BZN|ES,Wind Onshore,11800.0
03/01/2025 11:30:00 - 03/01/2025 11:45:00,BZN|ES,Wind Onshore,11752.0
03/01/2025 11:45:00 - 03/01/2025 12:00:00,BZN|ES,Wind Onshore,11896.0
03/01/2025 12:00:00 - 03/01/2025 12:15:00,BZN|ES,Wind Onshore,11952.0
03/01/2025 12:15:00 - 03/01/2025 12:30:00,BZN|ES,Wind Onshore,11888.0
03/01/2025 12:30:00 - 03/01/2025 12:45:00,BZN|ES,Wind Onshore,11984.0
03/01/2025 12:45:00 - 03/01/2025 13:00:00,BZN|ES,Wind Onshore,12076.0
03/01/2025 13:00:00 - 03/01/2025 13:15:00,BZN|ES,Wind Onshore,12132.0
03/01/2025 13:15:00 - 03/01/2025 13:30:00,BZN|ES,Wind Onshore,12352.0
03/01/2025 13:30:00 - 03/01/2025 13:45:00,BZN|ES,Wind Onshore,12564.0
03/01/2025 13:45:00 - 03/01/2025 14:00:00,BZN|ES,Wind Onshore,12676.0
03/01/2025 14:00:00 - 03/01/2025 14:15:00,BZN|ES,Wind Onshore,12860.0
03/01/2025 14:15:00 - 03/01/2025 14:30:00,BZN|ES,Wind Onshore,12972.0
03/01/2025 14:30:00 - 03/01/2025 14:45:00,BZN|ES,Wind Onshore,13192.0
03/01/2025 14:45:00 - 03/01/2025 15:00:00,BZN|ES,Wind Onshore,13340.0
03/01/2025 15:00:00 - 03/01/2025 15:15:00,BZN|ES,Wind Onshore,13296.0
03/01/2025 15:15:00 - 03/01/2025 15:30:00,BZN|ES,Wind Onshore,13300.0
03/01/2025 15:30:00 - 03/01/2025 15:45:00,BZN|ES,Wind Onshore,12548.0
03/01/2025 15:45:00 - 03/01/2025 16:00:00,BZN|ES,Wind Onshore,12672.0
03/01/2025 16:00:00 - 03/01/2025 16:15:00,BZN|ES,Wind Onshore,12928.0
03/01/2025 16:15:00 - 03/01/2025 16:30:00,BZN|ES,Wind Onshore,12720.0
03/01/2025 16:30:00 - 03/01/2025 16:45:00,BZN|ES,Wind Onshore,12556.0
03/01/2025 16:45:00 - 03/01/2025 17:00:00,BZN|ES,Wind Onshore,12888.0
03/01/2025 17:00:00 - 03/01/2025 17:15:00,BZN|ES,Wind Onshore,12964.0
03/01/2025 17:15:00 - 03/01/2025 17:30:00,BZN|ES,Wind Onshore,13016.0
03/01/2025 17:30:00 - 03/01/2025 17:45:00,BZN|ES,Wind Onshore,13076.0
03/01/2025 17:45:00 - 03/01/2025 18:00:00,BZN|ES,Wind Onshore,13120.0
03/01/2025 18:00:00 - 03/01/2025 18:15:00,BZN|ES,Wind Onshore,13132.0
03/01/2025 18:15:00 - 03/01/2025 18:30:00,BZN|ES,Wind Onshore,13060.0
03/01/2025 18:30:00 - 03/01/2025 18:45:00,BZN|ES,Wind Onshore,13076.0
03/01/2025 18:45:00 - 03/01/2025 19:00:00,BZN|ES,Wind Onshore,13108.0
03/01/2025 19:00:00 - 03/01/2025 19:15:00,BZN|ES,Wind Onshore,13228.0
03/01/2025 19:15:00 - 03/01/2025 19:30:00,BZN|ES,Wind Onshore,13304.0
03/01/2025 19:30:00 - 03/01/2025 19:45:00,BZN|ES,Wind Onshore,13240.0
03/01/2025 19:45:00 - 03/01/2025 20:00:00,BZN|ES,Wind Onshore,13096.0
03/01/2025 20:00:00 - 03/01/2025 20:15:00,BZN|ES,Wind Onshore,13040.0
03/01/2025 20:15:00 - 03/01/2025 20:30:00,BZN|ES,Wind Onshore,13040.0
03/01/2025 20:30:00 - 03/01/2025 20:45:00,BZN|ES,Wind Onshore,13052.0
03/01/2025 20:45:00 - 03/01/2025 21:00:00,BZN|ES,Wind Onshore,13012.0
03/01/2025 21:00:00 - 03/01/2025 21:15:00,BZN|ES,Wind Onshore,12992.0
03/01/2025 21:15:00 - 03/01/2025 21:30:00,BZN|ES,Wind Onshore,12972.0
03/01/2025 21:30:00 - 03/01/2025 21:45:00,BZN|ES,Wind Onshore,13048.0
03/01/2025 21:45:00 - 03/01/2025 22:00:00,BZN|ES,Wind Onshore,13088.0
03/01/2025 22:00:00 - 03/01/2025 22:15:00,BZN|ES,Wind Onshore,13064.0
03/01/2025 22:15:00 - 03/01/2025 22:30:00,BZN|ES,Wind Onshore,13044.0
03/01/2025 22:30:00 - 03/01/2025 22:45:00,BZN|ES,Wind Onshore,13172.0
03/01/2025 22:45:00 - 03/01/2025 23:00:00,BZN|ES,Wind Onshore,13136.0
03/01/2025 23:00:00 - 03/01/2025 23:15:00,BZN|ES,Wind Onshore,12980.0
03/01/2025 23:15:00 - 03/01/2025 23:30:00,BZN|ES,Wind Onshore,12892.0
03/01/2025 23:30:00 - 03/01/2025 23:45:00,BZN|ES,Wind Onshore,12924.0
03/01/2025 23:45:00 - 04/01/2025 00:00:00,BZN|ES,Wind Onshore,12864.0
04/01/2025 00:00:00 - 04/01/2025 00:15:00,BZN|ES,Wind Onshore,12744.0
