datetime,Area,Production Type,Generation (MWh)
2025/1/15 3:00,BZN|ES,Wind Onshore,3699.0
2025/1/15 4:00,BZN|ES,Wind Onshore,3315.0
2025/1/15 5:00,BZN|ES,Wind Onshore,3275.0
2025/1/15 6:00,BZN|ES,Wind Onshore,3479.0
2025/1/15 7:00,BZN|ES,Wind Onshore,3648.0
2025/1/15 8:00,BZN|ES,Wind Onshore,4113.0
2025/1/15 9:00,BZN|ES,Wind Onshore,4520.0
2025/1/15 10:00,BZN|ES,Wind Onshore,4047.0
2025/1/15 11:00,BZN|ES,Wind Onshore,3574.0
2025/1/15 12:00,BZN|ES,Wind Onshore,3852.0
2025/1/15 13:00,BZN|ES,Wind Onshore,4830.0
2025/1/15 14:00,BZN|ES,Wind Onshore,5864.0
2025/1/15 15:00,BZN|ES,Wind Onshore,6859.0
2025/1/15 16:00,BZN|ES,Wind Onshore,7386.0
2025/1/15 17:00,BZN|ES,Wind Onshore,8982.0
2025/1/15 18:00,BZN|ES,Wind Onshore,10551.0
2025/1/15 19:00,BZN|ES,Wind Onshore,12171.0
2025/1/15 20:00,BZN|ES,Wind Onshore,12988.0
2025/1/15 21:00,BZN|ES,Wind Onshore,13681.0
2025/1/15 22:00,BZN|ES,Wind Onshore,13840.0
2025/1/15 23:00,BZN|ES,Wind Onshore,13778.0
2025/1/16 0:00,BZN|ES,Wind Onshore,13368.0
2025/1/16 1:00,BZN|ES,Wind Onshore,13014.0
2025/1/16 2:00,BZN|ES,Wind Onshore,12698.0
2025/1/16 3:00,BZN|ES,Wind Onshore,12126.0
2025/1/16 4:00,BZN|ES,Wind Onshore,11453.0
2025/1/16 5:00,BZN|ES,Wind Onshore,10917.0
2025/1/16 6:00,BZN|ES,Wind Onshore,10334.0
2025/1/16 7:00,BZN|ES,Wind Onshore,9690.0
2025/1/16 8:00,BZN|ES,Wind Onshore,8929.0
2025/1/16 9:00,BZN|ES,Wind Onshore,7579.0
2025/1/16 10:00,BZN|ES,Wind Onshore,6170.0
2025/1/16 11:00,BZN|ES,Wind Onshore,5387.0
2025/1/16 12:00,BZN|ES,Wind Onshore,5231.0
2025/1/16 13:00,BZN|ES,Wind Onshore,4931.0
2025/1/16 14:00,BZN|ES,Wind Onshore,4671.0
2025/1/16 15:00,BZN|ES,Wind Onshore,4637.0
2025/1/16 16:00,BZN|ES,Wind Onshore,4861.0
2025/1/16 17:00,BZN|ES,Wind Onshore,5295.0
2025/1/16 18:00,BZN|ES,Wind Onshore,6367.0
2025/1/16 19:00,BZN|ES,Wind Onshore,7485.0
2025/1/16 20:00,BZN|ES,Wind Onshore,7386.0
2025/1/16 21:00,BZN|ES,Wind Onshore,7506.0
2025/1/16 22:00,BZN|ES,Wind Onshore,8310.0
2025/1/16 23:00,BZN|ES,Wind Onshore,8065.0
2025/1/17 0:00,BZN|ES,Wind Onshore,7825.0
2025/1/17 1:00,BZN|ES,Wind Onshore,7790.0
2025/1/17 2:00,BZN|ES,Wind Onshore,7558.0
2025/1/17 3:00,BZN|ES,Wind Onshore,7224.0
2025/1/17 4:00,BZN|ES,Wind Onshore,6274.0
2025/1/17 5:00,BZN|ES,Wind Onshore,5655.0
2025/1/17 6:00,BZN|ES,Wind Onshore,5548.0
2025/1/17 7:00,BZN|ES,Wind Onshore,5572.0
2025/1/17 8:00,BZN|ES,Wind Onshore,5667.0
2025/1/17 9:00,BZN|ES,Wind Onshore,5570.0
2025/1/17 10:00,BZN|ES,Wind Onshore,5211.0
2025/1/17 11:00,BZN|ES,Wind Onshore,4846.0
2025/1/17 12:00,BZN|ES,Wind Onshore,4599.0
2025/1/17 13:00,BZN|ES,Wind Onshore,4061.0
2025/1/17 14:00,BZN|ES,Wind Onshore,3596.0
2025/1/17 15:00,BZN|ES,Wind Onshore,3098.0
2025/1/17 16:00,BZN|ES,Wind Onshore,2919.0
2025/1/17 17:00,BZN|ES,Wind Onshore,2934.0
2025/1/17 18:00,BZN|ES,Wind Onshore,2795.0
2025/1/17 19:00,BZN|ES,Wind Onshore,2710.0
2025/1/17 20:00,BZN|ES,Wind Onshore,2572.0
2025/1/17 21:00,BZN|ES,Wind Onshore,2517.0
2025/1/17 22:00,BZN|ES,Wind Onshore,2468.0
2025/1/17 23:00,BZN|ES,Wind Onshore,2140.0
2025/1/18 0:00,BZN|ES,Wind Onshore,2229.0
2025/1/18 1:00,BZN|ES,Wind Onshore,2109.0
2025/1/18 2:00,BZN|ES,Wind Onshore,2002.0
2025/1/18 3:00,BZN|ES,Wind Onshore,2074.0
2025/1/18 4:00,BZN|ES,Wind Onshore,2307.0
2025/1/18 5:00,BZN|ES,Wind Onshore,2579.0
2025/1/18 6:00,BZN|ES,Wind Onshore,2696.0
2025/1/18 7:00,BZN|ES,Wind Onshore,2952.0
2025/1/18 8:00,BZN|ES,Wind Onshore,3080.0
2025/1/18 9:00,BZN|ES,Wind Onshore,2868.0
2025/1/18 10:00,BZN|ES,Wind Onshore,2452.0
2025/1/18 11:00,BZN|ES,Wind Onshore,1733.0
2025/1/18 12:00,BZN|ES,Wind Onshore,1303.0
2025/1/18 13:00,BZN|ES,Wind Onshore,1255.0
2025/1/18 14:00,BZN|ES,Wind Onshore,1266.0
2025/1/18 15:00,BZN|ES,Wind Onshore,1312.0
