Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Absolute_Error_MWh,Percentage_Error
1/12/2025 20:00,20,129,96.40469,32.5953064,25.26767938
1/12/2025 21:00,21,94,84.543396,9.456604004,10.06021703
1/12/2025 22:00,22,47,70.01759,23.01759338,48.97360294
1/12/2025 23:00,23,40,63.549244,23.54924393,58.87310982
1/13/2025 0:00,0,40,61.88926,21.88925934,54.72314835
1/13/2025 1:00,1,40,61.10218,21.10218048,52.7554512
1/13/2025 2:00,2,40,58.058247,18.05824661,45.14561653
1/13/2025 3:00,3,40,58.058247,18.05824661,45.14561653
1/13/2025 4:00,4,41,58.058247,17.05824661,41.60547954
1/13/2025 5:00,5,46,65.10639,19.10639191,41.53563458
1/13/2025 6:00,6,52,65.10639,13.10639191,25.20459982
1/13/2025 7:00,7,53,67.23561,14.23561096,26.85964332
1/13/2025 8:00,8,111,91.60407,19.39592743,17.47380849
1/13/2025 9:00,9,3161,1651.506,1509.494019,47.75368613
1/13/2025 10:00,10,11077,4899.475,6177.524902,55.76893475
1/13/2025 11:00,11,15199,7079.772,8119.228027,53.4194883
1/13/2025 12:00,12,15548,7430.8145,8117.185547,52.2072649
1/13/2025 13:00,13,15646,7407.4805,8238.519531,52.65575566
1/13/2025 14:00,14,15557,7456.635,8100.365234,52.06894153
1/13/2025 15:00,15,15365,6874.0034,8490.996582,55.26193675
1/13/2025 16:00,16,13738,4204.288,9533.711914,69.396651
1/13/2025 17:00,17,6950,1791.7225,5158.277466,74.21981965
1/13/2025 18:00,18,937,267.33224,669.6677551,71.4693442
1/13/2025 19:00,19,187,95.50152,91.49848175,48.92966939
1/13/2025 20:00,20,144,91.2287,52.77130127,36.64673699
1/13/2025 21:00,21,134,78.052765,55.94723511,41.75166799
1/13/2025 22:00,22,126,65.270096,60.72990417,48.19833665
1/13/2025 23:00,23,112,64.3392,47.66079712,42.55428314
1/14/2025 0:00,0,112,61.96005,50.03995132,44.67852797
1/14/2025 1:00,1,112,61.17297,50.82703018,45.38127695
1/14/2025 2:00,2,92,58.129036,33.87096405,36.81626527
1/14/2025 3:00,3,80,58.129036,21.87096405,27.33870506
1/14/2025 4:00,4,80,58.129036,21.87096405,27.33870506
1/14/2025 5:00,5,80,56.315193,23.68480682,29.60600853
1/14/2025 6:00,6,80,56.315193,23.68480682,29.60600853
1/14/2025 7:00,7,80,57.477158,22.52284241,28.15355301
1/14/2025 8:00,8,139,81.116554,57.88344574,41.64276672
1/14/2025 9:00,9,3200,1051.2327,2148.767334,67.14897919
1/14/2025 10:00,10,11393,3470.1128,7922.887207,69.54171164
1/14/2025 11:00,11,15470,4591.383,10878.61719,70.32073166
1/14/2025 12:00,12,16309,5172.778,11136.22217,68.28267931
1/14/2025 13:00,13,16041,5137.943,10903.05713,67.9699341
1/14/2025 14:00,14,16230,5096.714,11133.28613,68.59695707
1/14/2025 15:00,15,16407,4988.6294,11418.37061,69.59450604
1/14/2025 16:00,16,14335,3026.154,11308.84595,78.88975199
1/14/2025 17:00,17,7085,1646.1617,5438.838257,76.76553644
1/14/2025 18:00,18,1021,262.1235,758.8764954,74.32678701
1/14/2025 19:00,19,264,85.838715,178.1612854,67.48533538
1/14/2025 20:00,20,213,76.01215,136.9878464,64.3135429
1/14/2025 21:00,21,192,66.07717,125.9228287,65.5848066
1/14/2025 22:00,22,172,59.48798,112.5120201,65.41396518
1/14/2025 23:00,23,131,57.256245,73.74375534,56.29294301
1/15/2025 0:00,0,107,52.857895,54.1421051,50.60009823
1/15/2025 1:00,1,80,52.0708,27.92919922,34.91149902
1/15/2025 2:00,2,72,49.026882,22.97311783,31.90710809
1/15/2025 3:00,3,72,49.026882,22.97311783,31.90710809
1/15/2025 4:00,4,72,49.026882,22.97311783,31.90710809
1/15/2025 5:00,5,72,47.213028,24.78697205,34.42635006
1/15/2025 6:00,6,72,47.213028,24.78697205,34.42635006
1/15/2025 7:00,7,72,48.697186,23.30281448,32.36502012
1/15/2025 8:00,8,137,69.299446,67.70055389,49.4164627
1/15/2025 9:00,9,3290,910.68396,2379.31604,72.31963648
1/15/2025 10:00,10,11341,2528.363,8812.636963,77.70599562
1/15/2025 11:00,11,15530,3875.9878,11654.01221,75.04193308
1/15/2025 12:00,12,16337,4830.5425,11506.45752,70.43188786
1/15/2025 13:00,13,16034,5006.186,11027.81396,68.7776847
1/15/2025 14:00,14,15901,5103.0117,10797.98828,67.90760506
1/15/2025 15:00,15,15852,5118.2603,10733.73975,67.71221137
1/15/2025 16:00,16,14001,3599.0598,10401.94019,74.29426602
1/15/2025 17:00,17,7258,2008.614,5249.385986,72.32551648
1/15/2025 18:00,18,1050,405.88168,644.1183167,61.34460159
1/15/2025 19:00,19,168,109.068405,58.93159485,35.07833027
1/15/2025 20:00,20,117,85.55371,31.44628906,26.87717014
1/15/2025 21:00,21,100,73.3726,26.62740326,26.62740326
1/15/2025 22:00,22,100,64.21096,35.78903961,35.78903961
1/15/2025 23:00,23,98,57.64291,40.35709,41.18070408
1/16/2025 0:00,0,96,54.517982,41.48201752,43.21043491
1/16/2025 1:00,1,96,53.814552,42.18544769,43.94317468
1/16/2025 2:00,2,53,51.013268,1.986732483,3.748551855
1/16/2025 3:00,3,52,51.013268,0.986732483,1.897562467
1/16/2025 4:00,4,52,51.013268,0.986732483,1.897562467
1/16/2025 5:00,5,52,50.61203,1.387969971,2.669173021
1/16/2025 6:00,6,52,50.61203,1.387969971,2.669173021
1/16/2025 7:00,7,54,52.111217,1.888782501,3.497745373
1/16/2025 8:00,8,150,82.650604,67.34939575,44.89959717
1/16/2025 9:00,9,3019,971.2605,2047.739502,67.82840351
1/16/2025 10:00,10,10291,3000.2456,7290.754395,70.84592746
1/16/2025 11:00,11,14011,4985.2373,9025.762695,64.41911852
1/16/2025 12:00,12,14730,5792.389,8937.61084,60.67624467
1/16/2025 13:00,13,14305,5998.704,8306.295898,58.06568262
1/16/2025 14:00,14,14286,5973.3257,8312.674316,58.18755646
1/16/2025 15:00,15,14108,5513.2456,8594.754395,60.92113974
1/16/2025 16:00,16,12049,3989.6223,8059.377686,66.88835327
1/16/2025 17:00,17,6343,1967.2859,4375.714111,68.98493002
1/16/2025 18:00,18,934,295.14984,638.8501587,68.39937459
1/16/2025 19:00,19,82,100.82787,18.82787323,22.96082101
1/16/2025 20:00,20,46,81.82598,35.82598114,77.8825677
1/16/2025 21:00,21,45,71.91947,26.91947174,59.82104831
1/16/2025 22:00,22,44,62.976593,18.97659302,43.12862049
1/16/2025 23:00,23,43,58.515553,15.51555252,36.08268028
1/17/2025 0:00,0,40,54.517982,14.51798248,36.29495621
1/17/2025 1:00,1,40,53.814552,13.81455231,34.53638077
1/17/2025 2:00,2,40,51.013268,11.01326752,27.53316879
1/17/2025 3:00,3,40,51.013268,11.01326752,27.53316879
1/17/2025 4:00,4,40,51.013268,11.01326752,27.53316879
1/17/2025 5:00,5,40,50.61203,10.61203003,26.53007507
1/17/2025 6:00,6,40,50.61203,10.61203003,26.53007507
1/17/2025 7:00,7,40,52.646053,12.64605331,31.61513329
1/17/2025 8:00,8,93,84.025955,8.9740448,9.649510537
1/17/2025 9:00,9,2563,1466.6182,1096.381836,42.77728583
1/17/2025 10:00,10,9437,5439.2676,3997.732422,42.362323
1/17/2025 11:00,11,13852,7596.5,6255.5,45.15954375
1/17/2025 12:00,12,14747,7899.2915,6847.708496,46.43458667
1/17/2025 13:00,13,14517,8067.0728,6449.927246,44.43016633
1/17/2025 14:00,14,14260,7958.141,6301.858887,44.19255881
1/17/2025 15:00,15,14081,7545.823,6535.176758,46.4113114
1/17/2025 16:00,16,12383,5571.9253,6811.074707,55.00342976
1/17/2025 17:00,17,6450,2411.1758,4038.824219,62.61742975
1/17/2025 18:00,18,956,304.72595,651.2740479,68.1249004
1/17/2025 19:00,19,154,98.59566,55.40434265,35.97684588
1/17/2025 20:00,20,96,85.53325,10.4667511,10.90286573
1/17/2025 21:00,21,56,75.626755,19.62675476,35.04777636
1/17/2025 22:00,22,53,63.31022,10.31021881,19.45324304
1/17/2025 23:00,23,54,58.49481,4.494808197,8.323718883
1/18/2025 0:00,0,53,52.78887,0.211128235,0.39835516
1/18/2025 1:00,1,52,52.001793,0.001792908,0.003447899
1/18/2025 2:00,2,52,49.314545,2.685455322,5.164337158
1/18/2025 3:00,3,52,49.314545,2.685455322,5.164337158
1/18/2025 4:00,4,52,47.958076,4.041923523,7.772929852
1/18/2025 5:00,5,52,47.22253,4.777469635,9.187441606
1/18/2025 6:00,6,52,47.22253,4.777469635,9.187441606
1/18/2025 7:00,7,52,49.256554,2.74344635,5.275858366
1/18/2025 8:00,8,91,77.49974,13.5002594,14.83544989
